,H,A,ASL,ACL,ASP1,ACP1,ASP2,ACP2,TSL,TCL,TSP1,TCP1,TSP2,TCP2,start,close,sta-suo,sta-ttg,clo-suo,clo-ttg
0,CD NACIONAL MADEIRA,PORTIMONENSE SC,0 / 0,0 / 0,2.02,1.88,1.9,2.04,2.75,2.5,1.92,1.72,1.98,2.21,[-0.05166114  3.01310091],[ 0.0681083   2.96028213],-0.051661142094018474,3.0131009086812814,0.06810829827432686,2.9602821323575994
1,VITORIA GUIMARAES,SPORTING BRAGA,0.5 / -0.5,0.25 / -0.25,1.82,1.92,2.11,2,2.75,2.5,2.05,2,1.85,1.9,[-0.41760186  2.88986732],[-0.26049252  2.64607215],-0.4176018649435863,2.8898673234369263,-0.2604925247145268,2.6460721511935636
2,CD AVES,CD SANTA CLARA,-0.25 / 0.25,-0.25 / 0.25,1.8,1.8,2.13,2.13,2.25,2.5,1.86,2.05,2.04,1.85,[ 0.44827132  2.43156646],[ 0.45074553  2.59462097],0.44827131529834113,2.4315664552128142,0.45074552898798964,2.594620968367416
3,RIO AVE FC,GD CHAVES,-0.5 / 0.5,-0.5 / 0.5,2.02,1.76,1.9,2.19,2.25,2.5,1.86,1.86,2.04,2.04,[ 0.52594523  2.43146369],[ 0.80408543  2.79130968],0.5259452333168934,2.431463694688276,0.8040854273793216,2.791309684362118
4,CF BELENENSES,SL BENFICA,1.25 / -1.25,1.25 / -1.25,2.02,2.28,1.9,1.7,2.5,2.5,2,1.92,1.9,1.98,[-1.42555129  2.64100096],[-1.64167249  2.72267769],-1.4255512929551704,2.641000963367801,-1.6416724932794495,2.722677694923821
5,MOREIRENSE FC,CS MARITIMO MADEIRA,-0.25 / 0.25,-0.25 / 0.25,2.06,1.82,1.86,2.11,2.25,2.25,2.05,2.05,1.85,1.85,[ 0.21862656  2.27631807],[ 0.42895007  2.27609446],0.21862656451136322,2.2763180733258923,0.42895006821262394,2.276094461178575
6,CD TONDELA,VITORIA SETUBAL,-0.25 / 0.25,-0.25 / 0.25,2.09,2.21,1.83,1.74,2.25,2.25,2.02,2.25,1.88,1.7,[ 0.19171     2.30041997],[ 0.11374743  2.14122929],0.19171000479354233,2.3004199654192306,0.11374742914422982,2.141229287862533
7,FC PORTO,CD FEIRENSE,-2.25 / 2.25,-2.25 / 2.25,1.92,2.07,2,1.85,3.25,3,1.92,2,1.98,1.9,[ 2.42809518  3.39390274],[ 2.27763153  3.12276432],2.428095181794584,3.393902736580551,2.2776315260052407,3.122764322709761
8,SPORTING CP,BOAVISTA FC,-1.5 / 1.5,-1.5 / 1.5,2.07,2.17,1.85,1.77,2.75,2.5,2,1.87,1.9,2.03,[ 1.49921918  2.93455013],[ 1.41093196  2.77743783],1.4992191827417094,2.9345501298019534,1.410931955696793,2.7774378324757567
