,H,A,ASL,ACL,ASP1,ACP1,ASP2,ACP2,TSL,TCL,TSP1,TCP1,TSP2,TCP2,start,close,sta-suo,sta-ttg,clo-suo,clo-ttg
0,BRIGHTON & HOVE ALBION,WOLVERHAMPTON WANDERERS,0 / 0,0.25 / -0.25,2.13,1.93,1.78,2.02,2.25,2.25,1.98,2.29,1.92,1.69,[-0.12765946  2.33281014],[-0.27108786  2.12368169],-0.12765945754950467,2.3328101403264103,-0.2710878612918714,2.123681688861494
1,FULHAM FC,AFC BOURNEMOUTH,0 / 0,0 / 0,2.07,2.13,1.83,1.83,2.75,2.75,1.85,1.87,2.05,2.05,[-0.10543219  3.08101033],[-0.12957746  3.07077403],-0.10543219307312511,3.081010334355477,-0.12957745606705776,3.0707740273448465
2,LIVERPOOL FC,CARDIFF CITY,-2.5 / 2.5,-2.5 / 2.5,1.9,1.92,2,2.03,3.5,3.25,1.95,1.74,1.95,2.21,[ 2.69989325  3.67586461],[ 2.70697269  3.60664928],2.6998932494860455,3.675864613132162,2.706972685378318,3.6066492835573514
3,SOUTHAMPTON FC,NEWCASTLE UNITED,-0.5 / 0.5,-0.5 / 0.5,2.06,2.04,1.84,1.91,2.25,2.5,1.98,2.23,1.92,1.73,[ 0.48076727  2.33248122],[ 0.52074873  2.44806746],0.4807672742571093,2.332481224857163,0.520748734716384,2.44806745520122
4,WATFORD FC,HUDDERSFIELD TOWN,-0.75 / 0.75,-0.75 / 0.75,2.06,2.03,1.84,1.92,2.5,2.5,2.08,2.4,1.82,1.63,[ 0.72924267  2.56335145],[ 0.79029876  2.32341581],0.7292426716089109,2.563351445379271,0.7902987647384437,2.3234158134825713
5,LEICESTER CITY,WEST HAM UNITED,-0.25 / 0.25,-0.25 / 0.25,1.93,1.72,1.97,2.29,2.5,2.5,2.05,2.01,1.85,1.91,[ 0.31709632  2.59489003],[ 0.55913051  2.64571309],0.31709631598203014,2.594890033580429,0.5591305108157849,2.645713092812973
6,BURNLEY FC,CHELSEA FC,1.25 / -1.25,1.25 / -1.25,1.93,1.99,1.97,1.96,2.5,2.5,1.92,1.85,1.98,2.07,[-1.34625148  2.72488803],[-1.37753971  2.80921658],-1.3462514831033894,2.72488802933689,-1.377539712211823,2.8092165771419024
7,CRYSTAL PALACE,ARSENAL FC,0.75 / -0.75,0.75 / -0.75,1.87,1.85,2.03,2.11,2.5,2.75,1.78,1.82,2.13,2.11,[-0.74617833  2.88302575],[-0.68874542  3.12383387],-0.7461783321275018,2.8830257513163806,-0.6887454244630715,3.1238338741040583
8,MANCHESTER UNITED,EVERTON FC,-1 / 1,-1 / 1,2,2.49,1.9,1.62,2.5,2.5,1.9,1.81,2,2.12,[ 1.0520351   2.74771032],[ 0.72765594  2.86042007],1.0520351023102683,2.7477103205318643,0.7276559381487937,2.860420067386444
