,H,A,TSL,TCL,TSP1,TCP1,TSP2,TCP2,ASL,ACL,ASP1,ACP1,ASP2,ACP2,start,close,sta-suo,sta-ttg,clo-suo,clo-ttg
0,VEGALTA SENDAI,KASHIMA ANTLERS,3,2.75,2.13,1.9,1.78,2,0.5 / -0.5,0.5 / -0.5,2.03,2.16,1.89,1.78,[-0.6498434   3.01401285],[-0.7819625   3.03177527],-0.6498433973369733,3.014012852422189,-0.7819624997819016,3.031775265054232
1,FC TOKYO,KAWASAKI FRONTALE,2.5,2.5,2.09,2.09,1.81,1.81,0 / 0,0 / 0,1.8,1.82,2.13,2.11,[ 0.12731028  2.55465214],[ 0.11183635  2.55466207],0.12731027520081678,2.5546521379349163,0.11183634590308349,2.554662073889139
2,SHONAN BELLMARE,URAWA RED DIAMONDS,2.5,2.5,2.01,2.01,1.89,1.89,0.5 / -0.5,0.25 / -0.25,2,1.72,1.92,2.25,[-0.62163857  2.63498974],[-0.05410415  2.63596989],-0.6216385727228868,2.634989739197138,-0.054104150766012424,2.6359698937764913
3,SHIMIZU S-PULSE,VISSEL KOBE,2.5,2.5,1.86,1.9,2.04,2,-0.5 / 0.5,-0.25 / 0.25,2.25,2.08,1.72,1.84,[ 0.29627366  2.79260893],[ 0.18205159  2.75028257],0.2962736563356114,2.792608927454205,0.18205159223285314,2.7502825688102948
4,JUBILO IWATA,HOKKAIDO CONSADOLE SAPPORO,2.75,2.75,1.96,1.84,1.94,2.06,0 / 0,0 / 0,2.03,2.23,1.89,1.73,[-0.05977915  2.97483966],[-0.21741837  3.0907858 ],-0.059779146967994565,2.974839664896851,-0.21741837156899693,3.090785799526789
5,GAMBA OSAKA,V-VAREN NAGASAKI,2.75,2.75,2.12,2.06,1.79,1.84,-0.75 / 0.75,-0.75 / 0.75,2.01,2.11,1.91,1.82,[ 0.77779982  2.82953208],[ 0.68237112  2.88025271],0.777799822478405,2.8295320798760994,0.6823711197965541,2.880252709491708
6,CEREZO OSAKA,KASHIWA REYSOL,2.75,2.5,2.03,1.73,1.87,2.2,-0.25 / 0.25,0 / 0,2.11,2.01,1.82,1.91,[ 0.15226965  2.90871909],[-0.0424533   2.94917197],0.1522696492896888,2.908719090867757,-0.042453298866708754,2.949171969048272
7,SANFRECCE HIROSHIMA,NAGOYA GRAMPUS,2.75,2.75,1.81,1.85,2.09,2.05,0 / 0,0 / 0,1.81,1.72,2.12,2.25,[ 0.13633655  3.12041698],[ 0.22951909  3.0809703 ],0.13633654923735197,3.1204169756979407,0.22951909211551885,3.0809703031231295
8,SAGAN TOSU,YOKOHAMA F MARINOS,2.5,2.5,2.01,1.95,1.89,1.95,0 / 0,0 / 0,1.89,1.92,2.03,2,[ 0.05521588  2.63596958],[ 0.03203538  2.69795874],0.05521588080449642,2.6359695843615794,0.03203537957772237,2.697958736846371
